Voltage	T
1.64429	1.4
1.64299	1.5
1.64157	1.6
1.64003	1.7
1.63837	1.8
1.6366	1.9
1.63472	2
1.63274	2.1
1.63067	2.2
1.62852	2.3
1.62629	2.4
1.624	2.5
1.62166	2.6
1.61928	2.7
1.61687	2.8
1.61445	2.9
1.612	3
1.60951	3.1
1.60697	3.2
1.60438	3.3
1.60173	3.4
1.59902	3.5
1.59626	3.6
1.59344	3.7
1.59057	3.8
1.58764	3.9
1.58465	4
1.57848	4.2
1.57202	4.4
1.56533	4.6
1.55845	4.8
1.55145	5
1.54436	5.2
1.53721	5.4
1.53	5.6
1.52273	5.8
1.51541	6
1.49698	6.5
1.47868	7
1.46086	7.5
1.44374	8
1.42747	8.5
1.41207	9
1.39751	9.5
1.38373	10
1.37065	10.5
1.3582	11
1.34632	11.5
1.33499	12
1.32416	12.5
1.31381	13
1.3039	13.5
1.29439	14
1.28526	14.5
1.27645	15
1.26794	15.5
1.25967	16
1.25161	16.5
1.24372	17
1.23596	17.5
1.2283	18
1.2207	18.5
1.21311	19
1.20548	19.5
1.197748	20
1.181548	21
1.162797	22
1.140817	23
1.125923	24
1.119448	25
1.115658	26
1.11281	27
1.110421	28
1.108261	29
1.106244	30
1.104324	31
1.102476	32
1.100681	33
1.09893	34
1.097216	35
1.095534	36
1.093878	37
1.092244	38
1.090627	39
1.089024	40
1.085842	42
1.082669	44
1.079492	46
1.076303	48
1.073099	50
1.069881	52
1.06665	54
1.063403	56
1.060141	58
1.056862	60
1.048584	65
1.040183	70
1.031651	75
1.027594	77.35
1.022984	80
1.014181	85
1.005244	90
0.986974	100
0.968209	110
0.949	120
0.92939	130
0.909416	140
0.889114	150
0.868518	160
0.847659	170
0.82656	180
0.805242	190
0.78372	200
0.762007	210
0.740115	220
0.718054	230
0.695834	240
0.673462	250
0.650949	260
0.628302	270
0.621141	273
0.605528	280
0.582637	290
0.559639	300
0.536542	310
0.513361	320
0.490106	330
0.46676	340
0.443371	350
0.41996	360
0.396503	370
0.373002	380
0.349453	390
0.325839	400
0.302161	410
0.278416	420
0.254592	430
0.230697	440
0.206758	450
0.182832	460
0.15901	470
0.13548	480
0.112553	490
0.090681	500
